timestamp,pulgar,indice,corazon,anular,menique,gesto
125296,880,767,733,807,732,reposo
125374,880,746,733,807,732,reposo
125453,880,752,733,807,732,reposo
125217,880,775,733,807,732,reposo
125296,880,767,733,807,732,reposo
125374,880,746,733,807,732,reposo
125453,880,752,733,807,732,reposo
3139,880,754,733,807,731,reposo
3223,880,759,733,807,732,reposo
3302,880,757,733,807,732,reposo
3380,880,760,733,807,732,reposo
3459,880,750,733,807,731,reposo
3536,880,737,733,807,732,reposo
3615,880,737,733,807,732,reposo
3693,880,757,733,807,732,reposo
3772,880,757,732,807,732,reposo
3850,880,743,733,807,732,reposo
3929,880,751,733,807,732,reposo
4007,880,754,733,807,732,reposo
4085,880,750,733,807,732,reposo
4164,880,755,733,807,732,reposo
4242,880,737,733,807,732,reposo
4321,880,753,733,807,732,reposo
4399,880,760,733,807,732,reposo
4477,880,770,733,807,732,reposo
4555,880,763,733,807,732,reposo
4634,880,756,733,807,732,reposo
4712,880,760,733,807,732,reposo
4791,880,758,733,807,732,reposo
4870,880,759,733,807,732,reposo
4947,880,770,733,807,732,reposo
5026,880,773,733,807,732,reposo
5104,880,766,733,807,732,reposo
5183,880,767,733,807,732,reposo
5261,880,767,733,807,732,reposo
5340,880,767,733,807,732,reposo
5417,880,766,733,807,732,reposo
5496,880,766,733,807,731,reposo
5574,880,767,733,807,732,reposo
5653,880,767,733,807,732,reposo
5731,880,767,735,808,733,reposo
5810,880,767,743,810,735,reposo
5888,880,767,744,810,734,reposo
5966,719,776,735,808,730,reposo
6043,651,762,715,802,733,reposo
6120,627,740,700,798,732,reposo
6197,753,734,693,795,732,reposo
6274,694,730,688,793,731,reposo
6350,653,728,684,791,730,reposo
6427,638,727,666,791,730,reposo
6504,652,727,631,790,730,reposo
6581,668,727,635,790,730,reposo
6658,690,727,644,789,730,reposo
6734,763,727,685,790,730,reposo
6811,809,727,685,789,730,reposo
6888,834,727,684,790,730,reposo
6965,850,727,684,789,729,reposo
7042,860,729,684,789,730,reposo
7118,866,729,684,789,729,reposo
7195,873,729,684,789,730,reposo
7272,876,730,684,789,730,reposo
7349,878,732,684,789,730,reposo
7426,879,738,684,789,730,reposo
7503,879,741,685,790,730,reposo
7582,879,747,685,792,730,reposo
7660,879,754,687,795,732,reposo
7739,879,762,700,798,734,reposo
7818,879,762,712,802,734,reposo
7896,879,772,735,806,733,reposo
7974,879,763,757,812,734,reposo
8052,879,736,767,820,737,reposo
8131,879,743,777,820,737,reposo
8209,879,749,783,821,739,reposo
8288,879,750,772,821,739,reposo
8366,879,751,780,822,739,reposo
8444,879,752,763,823,738,reposo
8522,879,753,775,823,738,reposo
8601,879,753,773,823,737,reposo
8679,879,755,770,821,737,reposo
8758,879,762,769,821,737,reposo
8836,879,764,768,821,736,reposo
8914,879,763,765,821,735,reposo
8993,879,764,765,821,735,reposo
9071,879,763,764,820,735,reposo
9150,879,766,764,821,734,reposo
9228,879,765,764,820,734,reposo
9307,879,764,761,820,732,reposo
9384,879,764,763,820,731,reposo
9463,879,762,762,820,730,reposo
9541,879,763,762,820,729,reposo
9620,879,762,759,820,713,reposo
9698,879,760,748,821,724,reposo
9777,879,761,735,821,724,reposo
9854,879,760,758,821,723,reposo
9933,879,760,736,820,723,reposo
10011,879,759,737,820,723,reposo
10090,879,760,759,820,723,reposo
10169,879,759,761,821,722,reposo
10247,879,758,762,820,698,reposo
10326,879,730,757,821,719,reposo
10403,879,753,761,821,722,reposo
10482,879,736,753,821,722,reposo
10560,879,741,769,821,702,reposo
10639,879,737,776,824,733,reposo
10718,879,740,770,823,726,reposo
10796,854,741,724,811,739,reposo
10872,826,720,693,799,735,reposo
10949,807,704,687,794,733,reposo
11026,843,703,683,793,732,reposo
11105,861,703,680,791,731,reposo
11183,870,712,638,790,731,reposo
11261,875,712,644,790,730,reposo
11340,877,713,629,789,730,reposo
11418,878,712,629,789,730,reposo
11497,855,711,678,788,730,reposo
11574,862,712,675,787,729,reposo
11651,865,714,674,788,730,reposo
11727,869,715,682,788,729,reposo
11804,874,715,684,788,730,reposo
11881,877,717,684,789,730,reposo
11959,878,721,683,791,731,reposo
12038,879,735,688,792,731,reposo
12116,879,740,695,795,732,reposo
12194,879,732,703,799,734,reposo
12273,879,747,687,806,735,reposo
12351,879,760,743,810,735,reposo
12430,879,759,731,816,737,reposo
12509,879,759,726,817,738,reposo
12587,879,760,748,819,740,reposo
12665,879,758,744,820,740,reposo
12743,879,755,722,820,740,reposo
12822,879,737,750,819,740,reposo
12901,879,733,735,819,740,reposo
12979,879,730,750,819,740,reposo
13058,879,731,747,818,739,reposo
13135,879,749,749,818,737,reposo
13214,879,733,749,817,737,reposo
13292,879,726,748,817,736,reposo
13371,879,725,747,816,737,reposo
13450,879,724,748,816,736,reposo
13528,879,732,747,817,736,reposo
13606,879,726,741,817,729,reposo
13684,879,724,745,816,731,reposo
13763,879,726,744,816,729,reposo
13841,879,726,745,816,734,reposo
13920,879,726,744,817,736,reposo
13999,879,726,740,816,735,reposo
14076,879,727,743,816,735,reposo
14155,879,728,741,816,733,reposo
14233,879,731,742,816,736,reposo
14312,879,730,740,816,735,reposo
14390,879,728,739,816,724,reposo
14469,879,729,737,816,732,reposo
14547,879,721,739,817,716,reposo
14625,879,721,739,816,735,reposo
14704,879,725,738,816,731,reposo
14782,879,728,738,816,717,reposo
14861,879,724,741,816,733,reposo
14940,879,728,742,816,733,reposo
15017,879,723,744,816,733,reposo
15096,879,727,745,816,732,reposo
15174,879,727,745,816,733,reposo
15253,879,728,746,816,732,reposo
15331,879,729,747,816,733,reposo
15410,879,729,746,815,735,reposo
15489,879,733,742,815,736,reposo
15566,830,728,731,810,737,reposo
15643,676,707,698,796,733,reposo
15720,726,696,683,792,731,reposo
15797,777,693,680,790,730,reposo
15874,828,692,681,789,730,reposo
15952,854,692,681,789,730,reposo
16031,867,691,681,788,730,reposo
16109,873,692,679,788,729,reposo
16188,876,692,681,788,729,reposo
16266,878,692,679,788,730,reposo
16345,879,692,680,787,729,reposo
16421,879,693,680,787,729,reposo
16498,879,694,681,787,729,reposo
16575,879,696,681,788,730,reposo
16654,879,705,682,789,731,reposo
16732,879,721,700,795,733,reposo
16811,879,730,720,803,735,reposo
16888,879,732,735,807,735,reposo
16967,879,735,739,811,737,reposo
17045,879,734,742,812,738,reposo
17124,879,736,744,814,740,reposo
17203,879,734,750,817,739,reposo
17281,879,734,750,818,738,reposo
17359,879,739,750,819,738,reposo
17437,879,741,708,819,738,reposo
