timestamp,pulgar,indice,corazon,anular,menique,gesto
3139,880,744,716,803,740,anular
3223,880,749,716,803,740,anular
3302,880,746,716,803,740,anular
3380,880,735,716,803,740,anular
3459,880,739,715,803,740,anular
3536,880,743,716,803,740,anular
3615,880,763,716,803,740,anular
3694,880,770,716,803,740,anular
3772,880,773,716,803,740,anular
3851,880,769,716,803,740,anular
3929,880,751,716,803,740,anular
4007,880,773,716,803,740,anular
4085,880,777,716,803,741,anular
4164,880,776,716,803,741,anular
4242,880,777,716,804,740,anular
4321,880,779,716,804,740,anular
4399,880,780,716,804,741,anular
4477,880,776,716,804,741,anular
4556,880,770,716,804,741,anular
4634,880,762,717,804,741,anular
4713,880,759,717,804,741,anular
4791,880,748,718,805,742,anular
4870,880,744,718,806,742,anular
4947,880,743,721,808,743,anular
5026,880,751,722,806,738,anular
5104,880,761,731,810,741,anular
5183,880,746,723,806,737,anular
5261,880,778,725,807,739,anular
5340,880,779,713,809,740,anular
5417,880,746,732,811,740,anular
5496,880,737,733,814,740,anular
5574,880,738,558,818,739,anular
5653,880,739,740,819,738,anular
5732,880,738,660,823,738,anular
5810,880,731,685,830,738,anular
5889,880,743,739,837,737,anular
5966,880,742,734,843,737,anular
6045,880,739,721,856,738,anular
6123,880,740,730,869,737,anular
6202,880,739,728,878,737,anular
6280,880,745,722,886,737,anular
6359,880,744,725,891,737,anular
6436,880,744,716,897,737,anular
6515,880,743,729,901,737,anular
6593,880,744,728,906,737,anular
6672,880,742,702,910,737,anular
6750,880,731,631,916,737,anular
6829,880,721,602,918,736,anular
6906,880,730,690,919,735,anular
6985,880,748,679,920,735,anular
7064,880,724,604,921,735,anular
7142,880,714,614,919,735,anular
7221,880,712,641,921,734,anular
7299,880,703,690,920,734,anular
7377,880,750,601,921,733,anular
7455,880,744,586,920,732,anular
7534,880,730,656,920,733,anular
7612,880,715,645,920,733,anular
7691,880,746,622,920,733,anular
7769,880,743,626,921,732,anular
7847,880,739,584,920,732,anular
7925,880,766,569,919,733,anular
8004,880,768,667,911,733,anular
8083,880,720,656,897,735,anular
8161,880,747,676,861,735,anular
8240,880,753,676,847,736,anular
8317,880,755,682,839,736,anular
8396,880,777,689,832,736,anular
8474,880,778,686,823,736,anular
8553,880,776,682,817,735,anular
8631,880,774,683,811,734,anular
8710,880,769,695,808,734,anular
8787,880,698,666,806,734,anular
8866,880,761,682,804,733,anular
8944,880,757,643,802,733,anular
9021,880,755,639,801,732,anular
9098,880,754,646,800,733,anular
9175,880,756,611,800,733,anular
9251,880,747,648,799,732,anular
9328,880,696,647,799,732,anular
9405,880,749,650,799,732,anular
9482,880,704,646,799,732,anular
9559,880,754,649,799,733,anular
9635,880,722,607,799,732,anular
9712,880,688,639,799,732,anular
9789,880,752,642,800,732,anular
9868,880,677,656,801,733,anular
9946,880,713,629,801,733,anular
10024,880,741,644,803,733,anular
10102,880,716,651,813,733,anular
10181,880,726,649,828,733,anular
10260,880,730,647,836,733,anular
10338,880,756,648,837,733,anular
10417,880,718,643,838,734,anular
10494,880,753,647,850,734,anular
10573,880,734,650,862,734,anular
10652,880,736,650,871,734,anular
10730,880,756,649,876,734,anular
10809,880,736,651,885,734,anular
10887,880,749,652,900,734,anular
10966,880,757,651,906,735,anular
11043,880,740,651,906,735,anular
11122,880,746,651,906,735,anular
11201,880,755,651,910,735,anular
11279,880,753,652,914,735,anular
11358,880,749,650,917,735,anular
11436,880,739,650,920,735,anular
11514,880,702,649,921,734,anular
11592,880,732,648,921,734,anular
11671,880,756,647,921,733,anular
11750,880,711,642,922,733,anular
11828,880,708,647,922,733,anular
11907,880,743,648,922,733,anular
11984,880,760,648,922,733,anular
12063,880,747,646,922,732,anular
12142,880,737,644,922,732,anular
12220,880,744,644,922,732,anular
12299,880,762,643,922,733,anular
12377,880,711,642,922,732,anular
12455,880,765,642,922,732,anular
12534,880,739,640,922,733,anular
12612,880,754,637,921,732,anular
12691,880,737,636,921,732,anular
12769,880,751,628,921,732,anular
12848,880,751,638,921,733,anular
12925,880,753,637,921,732,anular
13004,880,752,631,921,733,anular
13083,880,731,636,921,733,anular
13161,880,751,630,921,733,anular
13240,880,740,624,918,732,anular
13318,880,732,615,914,734,anular
13396,880,759,614,908,734,anular
13475,880,759,634,883,736,anular
13553,880,760,634,858,737,anular
13632,880,738,653,847,737,anular
13710,880,716,669,844,737,anular
13789,880,744,666,840,737,anular
13867,880,749,654,829,737,anular
13945,880,749,645,822,735,anular
14024,880,747,638,816,735,anular
14102,880,740,655,813,735,anular
14181,880,720,642,810,734,anular
14259,880,728,614,807,734,anular
14338,880,739,618,805,733,anular
14414,880,743,618,803,733,anular
14491,880,752,616,802,733,anular
14568,880,715,582,802,733,anular
14645,880,740,595,802,733,anular
14722,880,719,633,801,733,anular
14798,880,732,633,801,732,anular
14875,880,738,598,801,733,anular
14952,880,739,626,800,733,anular
15029,880,715,627,800,733,anular
15106,880,746,627,800,733,anular
15184,880,753,630,801,732,anular
15262,880,755,615,801,733,anular
15341,880,756,605,806,733,anular
15419,880,749,629,810,733,anular
15498,880,759,628,814,733,anular
15577,880,747,631,818,734,anular
