timestamp,pulgar,indice,corazon,anular,menique,gesto
16315,880,738,710,796,744,indice
16394,880,738,710,797,744,indice
16472,880,738,711,796,744,indice
16550,880,738,711,797,744,indice
3139,880,739,711,797,744,indice
3223,880,739,711,797,744,indice
3302,880,738,711,797,744,indice
3380,880,739,710,797,744,indice
3459,880,739,711,796,743,indice
3536,880,739,710,797,744,indice
3615,880,738,711,797,744,indice
3693,880,738,710,797,744,indice
3772,880,738,711,797,744,indice
3851,880,739,711,797,744,indice
3929,880,738,711,797,744,indice
4007,880,738,710,796,744,indice
4085,880,738,710,797,744,indice
4164,880,738,711,797,744,indice
4242,880,738,711,797,744,indice
4321,880,738,711,797,744,indice
4399,880,738,710,797,744,indice
4477,880,738,711,797,744,indice
4555,880,738,710,797,744,indice
4634,880,738,711,797,744,indice
4712,880,737,711,797,744,indice
4791,880,737,711,797,744,indice
4870,880,736,711,797,744,indice
4947,880,738,713,798,744,indice
5026,880,750,718,799,744,indice
5104,880,753,720,800,744,indice
5183,880,767,723,801,744,indice
5261,880,797,733,803,745,indice
5340,880,823,741,805,745,indice
5417,880,836,743,806,746,indice
5496,880,842,747,810,745,indice
5574,880,845,750,811,746,indice
5653,880,854,758,821,751,indice
5731,880,854,761,820,762,indice
5810,880,837,758,814,748,indice
5888,880,843,758,814,748,indice
5966,880,843,757,813,747,indice
6045,880,847,762,817,752,indice
6123,880,856,787,838,774,indice
6202,880,830,763,816,747,indice
6280,880,840,767,817,747,indice
6359,880,852,770,818,748,indice
6436,880,849,771,818,747,indice
6515,880,848,773,819,747,indice
6593,880,848,774,818,746,indice
6672,880,844,774,819,747,indice
6750,880,845,776,820,749,indice
6829,880,833,774,820,748,indice
6906,880,842,775,820,747,indice
6985,880,839,775,821,749,indice
7063,880,841,773,820,747,indice
7142,880,846,775,820,748,indice
7220,880,843,774,820,748,indice
7299,880,845,775,821,749,indice
7377,880,849,776,822,750,indice
7455,880,846,779,825,753,indice
7534,880,849,782,825,752,indice
7612,880,849,785,828,756,indice
